pos_x, pos_y, pos_z
-1.788147, 1.787809, -3.145391
-1.139487, 2.228136, -2.027001
-1.921830, 1.460715, -3.362647
-1.787563, 1.488535, -3.152589
0.762387, -0.990614, 1.111346
0.728047, -0.943321, 1.061048
0.765188, -0.921096, 1.039634
-0.480999, -0.058165, -0.374990
-0.425880, -0.411925, 0.043962
-1.403057, 0.914466, -2.220265
-0.943857, 1.199993, -2.640892
-1.745511, 1.642426, -3.104568
-1.724371, 2.007619, -3.085157
-1.143806, 1.779331, -3.163859
-1.121653, 2.110368, -3.181237
-1.938561, 2.279919, -3.472681
-1.538993, 2.225464, -3.963911
-2.066324, 1.900960, -3.834541
-0.802862, 1.002027, -2.347951
-0.687045, 1.058003, -2.122658
-1.895974, 1.652127, -3.448528
-2.041775, 2.415306, -3.783027
-1.267059, 2.180697, -3.392985
-0.753281, 0.716993, -0.834207
-0.353558, 0.258734, -1.328778
-2.069818, 1.882697, -3.829038
-2.069669, 1.876122, -3.824816
-1.780761, 1.492294, -3.159869
-1.746482, 1.684382, -3.102504
-0.462163, 0.333892, -1.559491
-2.030701, 2.395035, -3.761807
-2.068823, 2.085845, -3.826810
-0.793299, 1.330989, -2.356745
0.571743, -0.277612, 0.577473
0.160180, -0.297292, 0.961361
-0.303867, -0.273732, 0.008695
0.836961, -0.915027, 0.835113
0.101248, -0.251877, -0.312044
0.940204, -0.931284, 0.852090
-0.783504, 1.328456, -2.344419
-0.797960, 1.174774, -2.300795
-0.800471, 1.203056, -2.325769
-0.812506, 1.140264, -2.342290
-1.042899, -0.055807, -1.109310
-1.733933, 1.602644, -3.049150
-1.154100, 1.784059, -3.174742
-1.723457, 1.608113, -3.048125
-1.252500, 1.678310, -3.356436
-1.731607, 2.048419, -3.085961
-1.174929, 1.649178, -3.141667
-1.342738, 1.676250, -3.496355
-0.106928, -0.542270, 0.259026
-1.113746, 2.041980, -3.110476
-1.253151, 1.582176, -3.316982
-2.071555, 2.052107, -3.831389
-1.622447, 0.349933, -2.070946
-1.901738, 2.261512, -3.458206
0.280749, -0.986296, 1.256622
0.668708, -0.303776, 0.901924
0.344104, -0.840743, 0.786899
-1.719050, 1.669879, -2.899358
7.238878, -1.677387, 13.515837
-1.466207, 2.043004, -3.699570
-1.476605, 2.072680, -3.705504
5.210955, -8.302032, 12.995993
-1.884344, 1.649384, -3.408007
-1.413511, 1.918950, -3.679163
-1.521613, 2.012125, -3.775218
-1.361161, 1.399336, -3.332906
-1.327052, 1.572381, -3.310673
-1.562970, 1.170533, -2.928479
-1.283806, 1.588339, -3.326936
-1.744345, 1.675398, -3.094365
-1.125954, 2.144820, -3.218140
-1.721978, 1.641696, -3.046022
-1.309289, 1.057253, -2.117885
-1.785765, 1.793733, -3.149887
-1.781106, 1.828229, -3.170055
-1.467561, 1.594547, -2.493592
-1.481152, 1.731071, -2.356918
0.413873, -0.900010, 0.898565
0.120695, 0.102673, -0.308077
-0.757147, 0.927405, -2.171040
-2.051646, 1.624431, -3.548663
-1.258296, 2.180349, -3.383000
-1.848310, 2.163412, -3.355190
-1.748321, 1.636924, -3.112178
-1.308374, 1.132027, -2.146588
-1.622297, 0.693614, -2.137714
-1.858516, 2.187041, -3.368451
-1.153337, 1.783507, -3.173863
-0.704519, 2.251413, -0.983783
-0.100785, -1.017722, 0.868969
-0.980006, 0.674210, -1.388911
-1.474429, 1.604152, -2.539873
-1.791446, 1.511409, -3.166232
-1.783346, 1.819541, -3.151118
-1.768638, 1.504941, -3.176551
-2.090091, 2.084907, -3.878986
-2.045433, 2.168808, -3.776718
-1.999962, 1.891092, -3.561587
-1.463071, 2.068901, -3.694710
-1.029522, 2.067034, -3.043845
-1.667637, 1.134497, -2.687063
